designation,winery,points
,CondÃ©,88
,CondÃ©,88
Predappio Riserva,CondÃ©,90
Tinto Crianza,Conde Ansurez,89
Crianza,Conde Bel,87
,Conde Bel,84
Joven,Conde de Altava,84
,Conde de Altava,83
,Conde de Altava,86
Reserva,Conde de Altava,88
Joven,Conde de Altava,85
Crianza,Conde de Altava,88
Brut,Conde de Caralt,87
Brut,Conde de Caralt,82
Conde de HervÃ­as,Conde de HervÃ­as & Mencos,90
Torre del Conde de HervÃ­as,Conde de HervÃ­as & Mencos,91
Reserva,Conde de Jauregui,83
Vendimia Seleccionada,Conde de Jauregui,82
,Conde de San CristÃ³bal,85
Reserva,Conde de Siruela,89
Crianza,Conde de Siruela,85
Roble,Conde de Siruela,86
Cava Brut RosÃ©,Conde de Subirats,86
Brut Rose,Conde de Subirats,84
Brut Rose,Conde de Subirats,84
Cava Brut,Conde de Subirats,88
Brut RosÃ©,Conde de Subirats,86
Brut,Conde de Subirats,80
Brut,Conde de Subirats,84
Estate Vintage,Conde de VelÃ¡zquez,88
Condesa Real,Conde de VelÃ¡zquez,90
El Conde Gran Reserva,Conde de VelÃ¡zquez,85
Condesa Real Premium Blend,Conde de VelÃ¡zquez,91
El Conde Gran Reserva,Conde de VelÃ¡zquez,85
El Conde Gran Reserva,Conde de VelÃ¡zquez,80
,Conde Villar,85
Branco,Conde Villar,86
RosÃ©,Conde Villar,84
Tinto,Conde Villar,85
,Conde Villar,86
,Condes de Albarei,89
,Condes de Albarei,88
,Condes de Albarei,88
,Condes de Albarei,89
Erxebre,Condes de Albarei,90
,Condes de Albarei,87
Carballo Galego,Condes de Albarei,86
,Condes de Albarei,88
,Condes de Albarei,88
Crianza - Estate Bottled - Finca los Trenzones,Condesa de Leganza,88
Crianza,Condesa de Leganza,86
RosÃ©,Condesa de Leganza,84
,Condesa de Leganza,83
Los Trezones,Condesa de Leganza,84
Crianza,Condesa de Leganza,84
Rosado,Condesa de Leganza,87
,Condesa Eylo,87
,Condesa Eylo,86
,Condesa Eylo,89
,Condesa Eylo,88
,Condesa Eylo,87
,Condor's Summit,85
Indiscreet,Confidence,88
Eloquent Grenache-Syrah-MourvÃ¨dre,Confidence,86
Indiscreet,Confidence,88
The Secret,Confidence,85
Les Gourmets,Confrerie de Oisly et ThesÃ©e,85
,Congress Springs,82
,Congress Springs,82
,Congress Springs,82
,Congress Springs,80
,Coniglio,85
,Coniglio,87
,Coniglio,92
,Coniglio,93
,Coniglio,86
,Coniglio,91
,Coniglio,86
,Conn Creek,90
Hozhoni Vineyard,Conn Creek,84
Sori Bricco Vineyard,Conn Creek,90
,Conn Creek,92
,Conn Creek,91
Anthology,Conn Creek,90
Sori Bricco Vineyard,Conn Creek,90
Conn Creek Estate Vineyard,Conn Creek,82
Collins Holystone Vineyard,Conn Creek,93
Anthology,Conn Creek,87
Anthology,Conn Creek,84
Newton Vineyard,Conn Creek,91
,Conn Creek,87
Stagecoach Vineyard,Conn Creek,92
,Conn Creek,88
Anthology,Conn Creek,92
Rutherford Estate Vineyard,Conn Creek,88
Limited Release,Conn Creek,82
Rutherford Estate Vineyard,Conn Creek,88
Red Hills,Conn Creek,88
Saffron Vineyard,Conn Creek,90
Stagecoach Vineyard,Conn Creek,96
El Adobo Ranch Vineyard,Conn Creek,91
Eloge,Conn Valley,89
Estate Reserve,Conn Valley,90
Single Vineyard Block No. 10 Loma Roja,Cono Sur,90
VisiÃ³n El Recurso Single Vineyard,Cono Sur,85
Silencio,Cono Sur,88
20 Barrels,Cono Sur,90
El Recurso Single Vineyard Block NÂ°18,Cono Sur,91
VisiÃ³n,Cono Sur,87
20 Barrels Limited Edition,Cono Sur,91
,Cono Sur,83
Reserve,Cono Sur,85
Organic,Cono Sur,88
Single Vineyard Block no.5 Quebrada Alta,Cono Sur,86
Organic,Cono Sur,86
,Cono Sur,85
,Cono Sur,86
,Cono Sur,84
Grapes Organically Grown,Cono Sur,84
20 Barrels,Cono Sur,88
VisiÃ³n,Cono Sur,86
Bicicleta,Cono Sur,84
VisiÃ³n,Cono Sur,86
Organic,Cono Sur,88
Ocio,Cono Sur,87
Single Vineyard Block no.5 Quebrada Alta,Cono Sur,86
,Cono Sur,85
20 Barrels Limited Edition,Cono Sur,80
,Cono Sur,85
El Recurso Single Vineyard Block NÂ°18,Cono Sur,91
The Southern Cone,Cono Sur,87
20 Barrels Limited Edition Peralillo Estate,Cono Sur,91
VisiÃ³n,Cono Sur,86
VisiÃ³n,Cono Sur,87
Bicicleta,Cono Sur,86
Bicicleta,Cono Sur,86
,Cono Sur,84
VisiÃ³n,Cono Sur,86
Bicicleta,Cono Sur,88
,Cono Sur,83
Viento Mar Single Vineyard Block NÂ°21,Cono Sur,82
Organic,Cono Sur,86
,Cono Sur,85
20 Barrels,Cono Sur,93
VisiÃ³n,Cono Sur,87
Bicicleta,Cono Sur,86
Single Vineyard Block no.23 Rulos del Alta,Cono Sur,89
Reserva Especial,Cono Sur,87
,Cono Sur,83
Reserva Especial,Cono Sur,88
Organically Grown Grapes Cabernet Sauvignon-Carmenere-Syrah,Cono Sur,89
Organic,Cono Sur,83
VisiÃ³n,Cono Sur,85
Sustainable Agriculture,Cono Sur,84
Organically Grown Grapes,Cono Sur,86
20 Barrels,Cono Sur,89
VisiÃ³n,Cono Sur,88
,Cono Sur,85
Single Vineyard Block no.23 Rulos del Alta,Cono Sur,89
,Cono Sur,84
Organically Grown Grapes,Cono Sur,85
Organically Grown Grapes,Cono Sur,84
20 Barrels,Cono Sur,91
VisiÃ³n,Cono Sur,88
20 Barrels Limited Edition,Cono Sur,87
Reserva Especial,Cono Sur,87
20 Barrels,Cono Sur,93
Sustainable Agriculture,Cono Sur,84
Sustainable Agriculture,Cono Sur,87
VisiÃ³n Block: 68 Old Vine Single Vineyard,Cono Sur,85
Oak Cask,Conquista,80
,Conquista,81
,Conquista,82
Oak Cask,Conquista,86
,Conquista de Argentina,84
Reserva,Consejo de la Alta,92
Alta RÃ­o Reserva,Consejo de la Alta,89
Reserva,Consejo de la Alta,92
Crianza,Consejo de la Alta,88
Cata de Consejero,Consejo de la Alta,92
Crianza,Consejo de la Alta,88
Alto RÃ­o Joven,Consejo de la Alta,85
Novo,Consejo de la Alta,87
Crianza,Consejo de la Alta,88
Alta RÃ­o Crianza,Consejo de la Alta,86
Cata de Consejero,Consejo de la Alta,92
Alta RÃ­o Crianza,Consejo de la Alta,88
Tramontana,Conselve,84
Tramontana Brut,Conselve,85
,Consilience,90
,Consilience,89
,Consilience,86
,Consilience,92
,Consilience,89
,Consilience,85
,Consilience,91
,Consilience,85
,Consilience,86
,Consilience,85
Rhodes Vineyard,Consilience,88
Riserva Titano Brut,Consorzio Vini Tipici di San Marino,87
,Consorzio Vini Tipici di San Marino,85
Biancale di San Marino,Consorzio Vini Tipici di San Marino,85
,Conspire,93
,Conspire,93
,Conspire,81
,Conspire,84
,Constant,94
The Queen of Diamonds Estate,Constant,87
,Constant,83
,Constant,94
Three,Constantia Glen,90
,Constantia Glen,88
Two,Constantia Glen,90
,Constantia Glen,88
,Constantia Glen,87
Mythic River,Constantin Gofas,87
SatÃ©n,Contadi Castaldi,86
RosÃ©,Contadi Castaldi,90
Soul SatÃ¨n,Contadi Castaldi,91
Brut SatÃ¨n,Contadi Castaldi,92
Soul RosÃ©,Contadi Castaldi,89
Zero,Contadi Castaldi,91
Brut,Contadi Castaldi,85
RosÃ©,Contadi Castaldi,87
Brut SatÃ¨n,Contadi Castaldi,91
Soul SatÃ©n,Contadi Castaldi,88
Brut,Contadi Castaldi,89
Brut RosÃ©,Contadi Castaldi,90
Dosaggio Zero,Contadi Castaldi,90
RosÃ©,Contadi Castaldi,88
Zero,Contadi Castaldi,89
D'Adda,Conte Brandolini,86
D'Adda,Conte Brandolini,85
D'Adda,Conte Brandolini,86
Extra Dry,Conte Collalto,87
Extra Dry,Conte Collalto,87
Brut,Conte Collalto,86
Extra Dry,Conte Collalto,87
Extra Dry,Conte Collalto,87
Brut,Conte Collalto,87
Extra Dry,Conte Collalto,87
Brut,Conte Collalto,89
Casoli Maniago,Conte d'Attimis-Maniago,86
,Conte d'Attimis-Maniago,84
,Conte d'Attimis-Maniago,84
,Conte d'Attimis-Maniago,87
Casoli Maniago,Conte d'Attimis-Maniago,86
,Conte d'Attimis-Maniago,90
,Conte d'Attimis-Maniago,87
La Historia di Italia,Conte Ferdinando Guicciardini,88
Massi di Mandorlaia Riserva,Conte Ferdinando Guicciardini,89
Massi di Mandorlaia,Conte Ferdinando Guicciardini,85
Massi di Mandorlaia Riserva,Conte Ferdinando Guicciardini,90
Massi di Mandorlaia,Conte Ferdinando Guicciardini,85
Riserva Massi di Mandorlaia,Conte Ferdinando Guicciardini,89
Calcare,Conte Leopardi,87
Castelverde,Conte Leopardi,87
Casirano,Conte Leopardi,84
Fructus,Conte Leopardi,86
SorÃ­ Ginestra,Conterno Fantino,91
Vigna del Gris,Conterno Fantino,88
SorÃ¬ Ginestra,Conterno Fantino,91
Vigna del Gris,Conterno Fantino,88
SorÃ¬ Ginestra,Conterno Fantino,92
Bricco Bastia,Conterno Fantino,86
Vigna del Gris,Conterno Fantino,92
SorÃ¬ Ginestra,Conterno Fantino,89
Bricco Bastia,Conterno Fantino,86
Vignota,Conterno Fantino,88
,Conterno Fantino,88
Bricco Bastia,Conterno Fantino,84
Vignota,Conterno Fantino,88
Vigna del Gris,Conterno Fantino,89
,Conti Costanti,98
,Conti Costanti,90
Riserva,Conti Costanti,94
,Conti Costanti,91
,Conti Costanti,90
,Conti Costanti,95
Riserva,Conti Costanti,98
,Conti Costanti,90
,Conti Costanti,90
,Conti Costanti,88
,Conti di Buscareto,87
Ammazzaconte,Conti di Buscareto,87
Sustinet,Conti di Sn Bonifacio,87
Docet,Conti di Sn Bonifacio,88
,Conti Formentini,84
,Conti Formentini,87
Furlana,Conti Formentini,88
,Conti Formentini,88
Caligo,Conti Formentini,89
Rylint,Conti Formentini,87
Torre di Tramontana,Conti Formentini,89
Caligo,Conti Formentini,89
Furlana,Conti Formentini,88
,Conti Formentini,87
,Conti Formentini,88
Vigneti del Coppo,Conti Leopardi di San Leopardo,89
Nero,Conti Zecca,90
Donna Marzia,Conti Zecca,85
,Conti Zecca,87
Donna Marzia,Conti Zecca,85
,Conti Zecca,87
,Conti Zecca,84
,Conti Zecca,84
Elibaria,Contini,89
Inu Riserva,Contini,90
Tonaghe,Contini,89
Tyrsos,Contini,89
Elibaria,Contini,87
Pariglia,Contini,90
Blanco,Contino,91
ViÃ±a del Olivo,Contino,90
Single Vineyard,Contino,90
Reserva,Contino,91
Single Vineyard,Contino,91
Reserva,Contino,90
Reserva,Contino,92
Reserva,Contino,91
ViÃ±a del Olivo,Contino,90
,Contino,90
Single Vineyard ViÃ±a del Olivo,Contino,89
ViÃ±a del Olivo,Contino,92
Single Vineyard,Contino,87
,Contino,90
Sage Mountain Vineyard Proprietary,Continuum,93
Proprietary Red Wine,Continuum,92
,Continuum,97
,Contour,91
Selvecorte,Contrada Michele,88
Hirpus,Contrada Michele,86
,Contrada Salandra,88
,Contrada Salandra,88
,Contrada Salandra,88
Animalucente Bianco,Contrada Santo Spirito di Passopisciaro,87
Riserva,Contrade di Taurasi,85
,Contrade di Taurasi - Lonardo,95
Grecomusc',Contrade di Taurasi - Lonardo,93
,Contrade di Taurasi - Lonardo,92
,Contrade di Taurasi - Lonardo,92
Coste,Contrade di Taurasi - Lonardo,93
Coste,Contrade di Taurasi - Lonardo,91
Grecomusc,Contrade di Taurasi - Lonardo,92
,Contrade di Taurasi - Lonardo,92
Vigne d'Alto,Contrade di Taurasi - Lonardo,94
,Contrade di Taurasi - Lonardo,89
Vigne d'Alto,Contrade di Taurasi - Lonardo,94
Alberta,Contratto,91
Riserva Giuseppe Contratto,Contratto,86
De Miranda,Contratto,89
Cerequio,Contratto,91
De Miranda,Contratto,90
Tenuta Secolo Cerequio,Contratto,92
De Miranda,Contratto,90
Tenuta Secolo,Contratto,91
Riserva,Contucci,94
,Contucci,93
Mulinvecchio,Contucci,95
,Contucci,94
Pietra Rossa,Contucci,93
,Contucci,90
Pietra Rossa,Contucci,92
Don Giovanni,Convento Cappuccini,85
,Convento de Las Claras,88
Heritage,Convento de Las Claras,92
,Convento de Las Claras,86
Heritage,Convento de Las Claras,91
Heritage,Convento de Las Claras,91
,Convento de Las Claras,88
Roble,Convento Oreja,84
Roble,Convento Oreja,84
Roble,Convento Oreja,85
Roble,Convento Oreja,85
Roble,Convento Oreja,84
Crianza,Convento Oreja,90
,Convento San Francisco,87
Special Selection,Convento San Francisco,90
,Convento San Francisco,80
Dewpoint Bacchus Vineyard,Convergence Zone,87
Storm Front Red,Convergence Zone,86
Mistral,Convergence Zone,89
Drizzle Ciel du Cheval Vineyard,Convergence Zone,83
Sunbreak,Convergence Zone,85
,Convergence Zone,90
Sunbreak,Convergence Zone,88
Mistral Red,Convergence Zone,87
Virga Red,Convergence Zone,85
Squall Line Red Wine,Convergence Zone,91
Black Cloud,Convergence Zone,88
Ciel du Cheval Vineyard Drizzle,Convergence Zone,90
Drizzle Ciel du Cheval Vineyard,Convergence Zone,85
Storm Front Red Wine,Convergence Zone,90
Drizzle,Convergence Zone,91
Bacchus Vineyard Dewpoint,Convergence Zone,92
Black Cloud,Convergence Zone,91
Dewpoint Bacchus Vineyard,Convergence Zone,84
Sunbreak Upland Vineyard,Convergence Zone,85
Storm Front,Convergence Zone,87
Virga,Convergence Zone,86
Ciel du Cheval Vineyard Drizzle,Convergence Zone,86
Ciel du Cheval Vineyard Drizzle,Convergence Zone,86
Squall Line,Convergence Zone,85
,Conveyance,89
,Conway,86
Bien Nacido Vineyard,Conway,87
,Conway,86
,Cookies & Cream,86
,Cookies & Cream,86
,Cookies & Cream,86
,Cookies & Cream,83
,Cookies & Cream,85
,Cookies & Cream,90
,Cool Woods,84
,Cool Woods,86
Private Reserve,Coomber Family Ranch,84
Private Reserve,Coomber Family Ranch,87
Private Reserve,Coomber Family Ranch,92
Private Reserve,Coomber Family Ranch,95
20th Anniversary Reserve,Cooper Mountain,86
20th Anniversary,Cooper Mountain,88
,Cooper Station,83
,Cooper Station,81
,Cooper Station,86
,Cooper Station,81
,Cooper Station,82
Reserve,Cooper Vineyards,88
,Cooper Vineyards,85
,Cooper Vineyards,87
,Cooper Vineyards,83
Reserve,Cooper Vineyards,82
Noche Sweet Table Wine,Cooper Vineyards,80
Carter Mountain,Cooper Vineyards,85
,Cooper Vineyards,87
,Cooper Vineyards,86
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,88
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,87
Adega de PegÃµes Colheita Seleccionada,Cooperativa Agricola de Santo Isidro de Pegoes,90
10 Mile Bridge,Cooperativa Agricola de Santo Isidro de Pegoes,86
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,87
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,84
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,88
Dona Helena Branco,Cooperativa Agricola de Santo Isidro de Pegoes,84
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,88
Dona Helena,Cooperativa Agricola de Santo Isidro de Pegoes,85
Adega de PegÃµes Colheita Seleccionada,Cooperativa Agricola de Santo Isidro de Pegoes,87
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,83
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,87
Moscatel de SetÃºbal,Cooperativa Agricola de Santo Isidro de Pegoes,88
Adega de PegÃµes Colheita Seleccionada,Cooperativa Agricola de Santo Isidro de Pegoes,87
Adega de PegÃµes Colheita Seleccionada,Cooperativa Agricola de Santo Isidro de Pegoes,89
Adega de PegÃµes,Cooperativa Agricola de Santo Isidro de Pegoes,88
Adega de PegÃµes Colheita Seleccionada,Cooperativa Agricola de Santo Isidro de Pegoes,88
10 Mile Bridge,Cooperativa Agricola de Santo Isidro de Pegoes,86
Reguengos,Cooperativa Reguengos de Monsaraz,90
Monsaraz Reserva,Cooperativa Reguengos de Monsaraz,90
PÃ¡tria,Cooperativa Reguengos de Monsaraz,84
Monsaraz Tinto,Cooperativa Reguengos de Monsaraz,86
Monsaraz,Cooperativa Reguengos de Monsaraz,88
Monsaraz Branco,Cooperativa Reguengos de Monsaraz,83
Monsaraz,Cooperativa Reguengos de Monsaraz,88
Reguengos,Cooperativa Reguengos de Monsaraz,86
Monsaraz Premium,Cooperativa Reguengos de Monsaraz,90
Alente Premium,Cooperativa Reguengos de Monsaraz,87
Terras d'El Rei,Cooperativa Reguengos de Monsaraz,83
George's Vineyard Estate,Cooper-Garrod,87
Gravel Ridge Vineyard,Cooper-Garrod,92
Test Pilot,Cooper-Garrod,88
Finley's Vineyard,Cooper-Garrod,87
Randall Grahm Clone,Cooper-Garrod,86
Test Pilot F-86,Cooper-Garrod,90
George's Vineyard,Cooper-Garrod,90
Finley Vineyard Estate,Cooper-Garrod,89
Gravel Ridge Vineyard,Cooper-Garrod,87
Test Pilot F6F Hellcat,Cooper-Garrod,88
Finley Vineyard Estate,Cooper-Garrod,89
Randall Grahm Clone,Cooper-Garrod,89
Two Vineyard,Cooper-Garrod,93
Test Pilot,Cooper-Garrod,86
Finley Vineyard,Cooper-Garrod,88
Finley Vineyard,Cooper-Garrod,86
Test Pilot Sabre Jet F-86,Cooper-Garrod,89
Gravel Ridge Vineyard Estate,Cooper-Garrod,88
Francville Vineyard,Cooper-Garrod,90
George's Vineyard,Cooper-Garrod,92
George's Vineyard,Cooper-Garrod,94
Randall Grahm Clone,Cooper-Garrod,89
Test Pilot,Cooper-Garrod,88
Test Pilot P-47D Thunderbolt,Cooper-Garrod,88
Lone Oak Vineyard Estate,Cooper-Garrod,92
Finley Vineyard,Cooper-Garrod,93
Gravel Ridge Vineyard,Cooper-Garrod,90
Finley Vineyard,Cooper-Garrod,94
Test Pilot F7U-3,Cooper-Garrod,86
Francville Vineyard,Cooper-Garrod,91
Gravel Ridge Vineyard,Cooper-Garrod,90
,Coopers Creek,85
,Coopers Creek,85
,Coopers Creek,90
,Cooper's Hawk,87
,Cooralook,84
,Cooralook,89
Unwooded,Cooralook,87
Wentzel,Copain Wines,95
Monument Tree,Copain Wines,95
,Copeland Creek,82
,Copper Belt,89
Rancher's,Copper Belt,89
,Copper Belt,87
,Copper Belt,88
,Copper Belt,88
Rancher's,Copper Belt,83
Keating Reserve,Copper Belt,87
Rancher's,Copper Belt,85
,Coppiere,86
,Coppiere,86
Camp du Rouss,Coppo,88
Cascina Gavelli,Coppo,88
,Coppo,90
Pomorosso,Coppo,90
Riserva della Famiglia,Coppo,92
L'Avvocata,Coppo,86
Moncalvina,Coppo,87
,Coppo,89
Moncalvina,Coppo,85
Camp du Rouss,Coppo,91
La Rocca,Coppo,88
,Coppo,90
Campu du Rouss,Coppo,88
Costebianche,Coppo,88
,Coppo,92
L'Avvocata,Coppo,89
Cascina Gavelli,Coppo,88
La Rocca,Coppo,88
,Coppo,92
L'Avvocata,Coppo,86
La Rocca,Coppo,86
,Coppo,90
Pomorosso,Coppo,90
Camp du Rouss,Coppo,88
,Coquelicot,84
Mon Amor,Coquelicot,91
Mon Amour,Coquelicot,86
Reserve,Coquelicot,88
,Coquelicot,91
Mon Amour,Coquelicot,85
Sixer,Coquelicot,85
Back Seat Blonde,Coquelicot,82
Mon Amour,Coquelicot,85
,Coquelicot,88
Reserve,Coquelicot,85
,Coquelicot,89
Reserve,Coquelicot,88
Back Seat Blonde,Coquelicot,84
Refugio Ranch,Coquelicot,88
,Coquelicot,87
Black Oak Vineyard,Coquelicot,88
,Coquelicot,84
Estate,Coquelicot,85
,Coquelicot,88
Mon Amour,Coquelicot,88
Estate,Coquelicot,83
,Coquelicot,84
Estate,Coquelicot,88
,Coquelicot,87
Sixer,Coquelicot,94
Sixer,Coquelicot,85
,Coquelicot,88
Estate,Coquelicot,91
,Coquelicot,87
Black Oak Vineyard,Coquelicot,91
,Coquena,84
,Coquerel Family Wine Estates,86
La,Coquerel Family Wine Estates,88
Estate,Coquerel Family Wine Estates,87
,Coquerel Family Wine Estates,86
,Coquerel Family Wine Estates,91
Terroir Coquerel,Coquerel Family Wine Estates,83
Estate,Coquerel Family Wine Estates,87
Terroir,Coquerel Family Wine Estates,83
Le Petit Coquerel,Coquerel Family Wine Estates,90
,Coquerel Family Wine Estates,86
Columbia View Vineyards,Cor Cellars,88
E Cor Si Move Tempranillo 24K Vineyard,Cor Cellars,87
Alba Cor White,Cor Cellars,89
ALBA GewÃ¼ztraminer-Pinot Gris,Cor Cellars,88
Alba Celilo Vineyard,Cor Cellars,90
ALBA GewÃ¼ztraminer-Pinot Gris,Cor Cellars,88
Momentum,Cor Cellars,87
McKinley Springs Vineyard,Cor Cellars,89
Hogback Ridge Vineyard,Cor Cellars,90
Milbrandt Vineyards,Cor Cellars,88
Ro-Sae,Cor Cellars,85
,Cor Cellars,88
,Coral Wines,88
,Coral Wines,88
,CorazÃ³n Verde,81
Reserve,Corbett Canyon,84
Reserve,Corbett Canyon,84
Presqu'ile Vineyard,Cordant,95
Wills hills Vineyard,Cordant,92
Chaos Theory,Cordant,94
,Cordella,90
,Cordella,90
Riserva,Cordella,91
,Cordella,87
,Cordella,86
,Cordella,88
,Cordella,87
,Cordella,92
,Cordero di Montezemolo,89
Bricco Gattera,Cordero di Montezemolo,92
Enrico VI,Cordero di Montezemolo,94
Gattera,Cordero di Montezemolo,90
Monfalletto,Cordero di Montezemolo,93
Monfalletto,Cordero di Montezemolo,94
Bricco Gattera,Cordero di Montezemolo,96
Bricco Gattera,Cordero di Montezemolo,95
,Cordero di Montezemolo,89
FuntanÃ¬,Cordero di Montezemolo,89
,Cordero di Montezemolo,89
Enrico VI,Cordero di Montezemolo,92
Gattera,Cordero di Montezemolo,93
Bricco Gattera,Cordero di Montezemolo,94
Bricco Gattera,Cordero di Montezemolo,91
Extra Brut,Cordeuil,88
Enjoy la Vie,Cordier,84
Alta Mesa Vineyard,Core Winery,83
Elevation Sensation,Core Winery,91
Hard Core,Core Winery,86
Reserve,Core Winery,90
,Corey Creek,83
,Corinne et Pierre Grossot,87
Selection,Corinto,80
Redstone,Coriole,85
,Coriole,87
Sangiovese - Shiraz,Coriole,90
,Coriole,87
Lloyd Reserve,Coriole,91
Kronos Vineyard,Corison,90
,Corison,93
,Corison,92
Kronos Vineyard,Corison,94
Luma Blanc,Corkscrew,89
,Corkscrew,87
,Corkscrew,84
RosÃ© of,Corkscrew,84
,Corley,87
Reserve,Corley,93
Proprietary Red Wine,Corley,87
Proprietary,Corley,89
Reserve,Corley,81
Proprietary Red Wine,Corley,90
Estate Grown,Corley,92
Reserve,Corley,90
Yewell Vineyard,Corley,91
Proprietary Red Wine,Corley,91
Reserve,Corley,89
State Lane Vineyard,Corley,91
Reserve,Corley,88
State Lane Vineyard,Corley,94
Yewell Vineyard,Corley,94
Proprietary Red Wine,Corley,85
Yewell Vineyard,Corley,90
Estate Grown,Corley Reserve,86
Estate Grown,Corley Reserve,90
Estate Grown,Corley Reserve,90
,Corley Reserve,94
Estate Grown,Corley Reserve,86
,Corliss Estates,91
,Corliss Estates,92
Red Blend,Corliss Estates,92
,Corliss Estates,94
,Corliss Estates,96
,Corliss Estates,94
Corliss,Corliss Estates,92
,Corliss Estates,91
Red,Corliss Estates,94
,Corliss Estates,94
,Corliss Estates,92
,Corliss Estates,93
,Corliss Estates,95
,Corliss Estates,92
,CormÃ²ns,87
,CormÃ²ns,86
,CormÃ²ns,86
,CormÃ²ns,85
,CormÃ²ns,86
,CormÃ²ns,85
,CormÃ²ns,87
,CormÃ²ns,87
Brut Riserva,Cornaleto,85
Brut,Cornaleto,88
,Cornarea,88
,Cornarea,84
Cornarea,Cornarea,87
,Cornarea,84
,Cornarea,91
,Cornarea,88
Enritard,Cornarea,89
,Cornellana,81
Estate Grown,Cornellana,85
Reserve,Cornellana,85
,Corner 103,90
,Corner 103,87
,Corner 103,89
,Corner 103,91
,Corner 103,86
,Corner 103,87
,Corner 103,87
,Corner 103,91
,Corner 103,88
,Corner 103,90
,Corner 103,90
,Corner 103,90
Black Label Stepping Stone,Cornerstone,88
,Cornerstone,90
The Cornerstone,Cornerstone,94
The Cornerstone,Cornerstone,90
Oakville Station,Cornerstone,90
Corallina RosÃ© of,Cornerstone,90
Black Label Stepping Stone,Cornerstone,88
Black Label Stepping Stone,Cornerstone,90
Corallina,Cornerstone,91
,Cornerstone,92
Oakville Station,Cornerstone,90
,Cornerstone,93
Rocks!,Cornerstone,85
Michael's CuvÃ©e,Cornerstone,90
Rocks!,Cornerstone,85
Crianza ViÃ±as Viejas,Corolilla,86
,Coronica,88
Gran,Coronica,89
,Coronica,88
Cimalto,Corte Adami,89
Vigna della Corte,Corte Adami,88
,Corte Adami,87
,Corte Adami,88
,Corte Adami,90
,Corte Adami,85
,Corte Adami,86
,Corte Adami,86
,Corte Adami,88
Vigna della Corte,Corte Adami,88
,Corte Adami,85
Vigna della Corte,Corte Adami,86
,Corte Adami,89
,Corte Aleardi,90
,Corte alla Flora,87
,Corte alla Flora,85
,Corte alla Flora,87
Gli Archi,Corte Archi,86
Gli Archi,Corte Archi,86
Gli Archi,Corte Archi,88
Gli Archi,Corte Archi,88
Terra Solinas,Corte Cariano,86
Terra Solinas,Corte Cariano,85
Terra Solinas,Corte Cariano,90
San Magno,Corte dei Papi,87
Colle Ticchio,Corte dei Papi,88
,Corte dei Venti,89
,Corte dei Venti,90
,Corte dei Venti,90
Riserva,Corte dei Venti,92
,Corte dei Venti,89
,Corte dei Venti,90
,Corte dei Venti,87
,Corte Falco,87
Acini Ameni,Corte Figaretto,87
,Corte Fornello,87
,Corte Giacobbe,88
,Corte Giacobbe,88
,Corte Giacobbe,88
,Corte Giara,86
,Corte Giara,87
,Corte Giona,90
,Corte Lenguin,87
500 ml,Corte Lenguin,90
,Corte Lenguin,87
500ml,Corte Lenguin,90
,Corte Lenguin,87
,Corte Lenguin,87
,Corte Lenguin,88
La Coeta,Corte Lenguin,88
La Coeta,Corte Lenguin,88
,Corte Lenguin,87
Tovo Al Pigno,Corte Mainente,89
Cengelle,Corte Mainente,87
Cengelle,Corte Mainente,87
36m Metodo Classico,Corte Moschina,90
Brut,Corte Moschina,86
Purocaso sui Lieviti,Corte Moschina,90
Roncathe,Corte Moschina,87
I Tarai,Corte Moschina,88
Metodo Classico,Corte Moschina,89
Roncathe,Corte Moschina,88
Roncathe,Corte Moschina,86
,Corte Moschina,92
,Corte Moschina,90
Evaos,Corte Moschina,88
,Corte Moschina,87
Roncathe,Corte Moschina,85
Purocaso sui Lieviti,Corte Moschina,90
Evaos,Corte Moschina,88
,Corte Pavone,87
,Corte Pavone,91
,Corte Pavone,93
,Corte Pavone,88
,Corte Pavone,88
,Corte Pavone,93
Monte Danieli,Corte Rugolin,86
Monte Danieli,Corte Rugolin,93
Vigna Monte Danieli,Corte Rugolin,92
Crosara de le Strie,Corte Rugolin,90
,Corte San Benedetto,88
,Corte San Benedetto,87
,Corte San Benedetto,88
,Corte San Benedetto,90
,Corte San Benedetto,87
,Corte San Benedetto,87
,Corte San Benedetto,87
500ml,Corte Sant' Alda,87
Campi Magri,Corte Sant' Alda,88
Ca' Fiui,Corte Sant' Alda,86
Mithas,Corte Sant' Alda,92
Campi Magri,Corte Sant' Alda,88
,Corte Sant' Alda,92
,Corte Sant' Alda,90
Ca' Fiui,Corte Sant' Alda,86
,Corte Sant'Alda,94
Cromalgo,Corte Sermana,87
Cromalgo,Corte Sermana,87
Podere Bertarole,Corteforte,88
Riserva,Corteforte,90
Terre di San Zeno,Corteforte,91
Podere Bertarole,Corteforte,89
